,Location,xmin,xmax,ymin,ymax
0,Andaman and Nicobar,573,743,665,765
1,Andhra Pradesh,258,333,601,673
2,Arunachal Pradesh,656,746,245,282
3,Assam,548,676,308,331
4,Bihar,452,542,318,363
5,Chandigarh,217,250,184,197
6,Chhattisgarh,350,392,421,495
7,Dadra and Nagar Haveli,160,189,489,496
8,Daman and Diu,95,113,456,477
9,Delhi,255,291,249,264
10,Goa,176,213,606,621
11,Gujarat,91,185,373,439
12,Haryana,202,259,222,240
13,Himachal Pradesh,226,298,135,186
14,Jammu and Kashmir,184,297,78,122
15,Jharkhand,421,497,375,423
16,Karnataka,192,254,634,697
17,Kerala,236,252,725,784
18,Ladakh,295,336,43,77
19,Lakshadweep,74,154,749,785
20,Maharashtra,157,272,497,574
21,Manipur,662,696,349,388
22,Meghalaya,579,645,337,357
23,Mizoram,642,667,385,433
24,Madhya Pradesh,204,373,380,442
25,Nagaland,683,710,316,341
26,Odisha,417,499,446,506
27,Puducherry,298,327,682,703
28,Punjab,181,238,202,222
29,Rajasthan,88,260,248,357
30,Sikkim,531,560,274,301
31,Tamil Nadu,258,323,709,773
32,Telengana,273,354,523,583
33,Tripura,612,638,383,412
34,Uttar Pradesh,305,423,273,347
35,Uttarakhand,280,349,190,231
36,West Bengal,495,552,390,440
